imdb_id,original_title,cn_titles,release_year,summary,genres,directors,scriptwriters,actors,length,douban_average_score,douban_star_rating,number_of_ratings,link
tt000170,隔楼女孩：我们之间的层距,隔楼女孩：我们之间的层距,2025,讲述了两名警察的女儿Jane和Ann之间的爱情与友情的故事。随着Jane即将搬离她成长的警察公寓，许多回忆涌上心头，这些回忆中包括了她与刚搬进公寓的年轻警察Don以及她暗恋的女孩Ann之间的情感纠葛，一些隐藏已久的秘密也随之浮出水面。,剧情 / 爱情 / 同性,吉拉萨雅·旺舒廷,吉拉萨雅·旺舒廷,吉拉萨雅·旺舒廷,130分钟,7.4,3.7,720,https://www.douban.com/doubanapp/dispatch?uri=/movie/35705765
tt000171,生命清单,生命清单,2025,亚历克斯·罗斯的母亲让她去完成童年的愿望清单时，她随之踏上了一段让人笑中带泪的旅程，并将在旅程中揭开家族秘密，收获爱情，并找到真正的自我。,剧情 / 喜剧 / 爱情,亚当·布鲁克斯,亚当·布鲁克斯 / Lori Nelson Spielman,亚当·布鲁克斯,123分钟,6.7,3.35,2282,https://www.douban.com/doubanapp/dispatch?uri=/movie/36708872
tt000172,致命录像带：超越,致命录像带：超越,2024,通过一部伪纪录片《未解之谜》五个故事娓娓道来：警察进入古宅寻找孩子遭遇神秘生物；一群印度狗仔队发现宝莱坞女星并非镜头般光鲜亮丽；几个朋友必须在遭遇外星人入侵之后与客机相撞的高空跳伞中幸存；动物权利组织闯进痛失爱犬的女士住宅后将经历至暗时刻；以及一位沙漠中的母亲调查莫哈韦沙漠幽浮飞船后成为飞船偷渡者……,恐怖,杰·齐尔 / 乔丹·唐尼 / 克里斯蒂安·朗 / 贾斯汀·朗 / 贾斯汀·马丁内兹 /  /  / 更多...,埃文·迪克森 / 乔丹·唐尼 / 迈克·弗拉纳根 / 克里斯蒂安·朗 / 贾斯汀·朗 /  /  /  /  /  / 更多...,杰·齐尔 乔丹·唐尼 克里斯蒂安·朗 贾斯汀·朗 贾斯汀·马丁内兹 维拉特·帕尔 凯特·西格尔,114分钟,6.4,3.2,10266,https://www.douban.com/doubanapp/dispatch?uri=/movie/36613461
tt000173,断魂小丑3,断魂小丑3,2024,在经历了小丑阿特的万圣节大屠杀后，西耶娜和她的兄弟正在努力重建他们破碎的生活。随着节日的临近，他们试图拥抱圣诞精神，把过去的恐怖抛在脑后。但就在他们以为自己安全的时候，小丑阿特回来了，决心把他们的节日欢乐变成一场新的噩梦。随着阿特释放出他扭曲的恐怖，节日很快就结束了，证明没有一个节日是安全的。,恐怖,达米安·利昂,达米安·利昂,达米安·利昂,125分钟,6.3,3.15,17294,https://www.douban.com/doubanapp/dispatch?uri=/movie/36221991
tt000174,红色一号：冬日行动,红色一号：冬日行动,2024,圣诞老人（J·K·西蒙斯 饰）被神秘绑架，北极安保主管（道恩·强森 饰）不得已与全世界最臭名昭著的赏金猎人（克里斯·埃文斯 饰）展开合作，他们寻遍全球、打遍天下，力求拯救圣诞节。,喜剧 / 动作 / 悬疑 / 冒险,杰克·卡斯丹,克里斯·摩根 / 海拉姆·加西亚,杰克·卡斯丹,123分钟,5.8,2.9,26289,https://www.douban.com/doubanapp/dispatch?uri=/movie/35516034
tt000175,痴人之爱,痴人之爱,2024,本作的主人公是河合譲治，他是一名曾在剧本比赛中获奖但至今未能正式出道的剧作家。故事从他在一家萧条的酒吧遇到一位自称为直美的女性开始展开。某天，譲治代替剧本课程的讲师，接下了改编自谷崎润一郎的《痴人之爱》的电影剧本创作任务。在创作过程中，譲治苦于写作瓶颈，与直美再次相遇并在关系逐渐加深中，经历了一段既甜蜜又苦涩且疯狂的时光。,剧情,井土纪州,小谷香织,井土纪州,106分钟,5.8,2.9,1081,https://www.douban.com/doubanapp/dispatch?uri=/movie/37070561
tt000176,再帮个小忙,再帮个小忙,2025,史蒂芬妮·斯莫瑟斯（安娜·肯德里克 Anna Kendrick 饰）和爱蜜莉·尼尔森（布蕾克·莱弗利 Blake Lively 饰）在美丽的意大利卡普里岛重逢，参加爱蜜莉与意大利富商（米凯莱·莫罗尼 Michele Morrone 饰）的奢华婚礼。婚礼现场，一众衣着光鲜的客人举杯相庆，期间却有人离奇遇害和惨遭背叛。剧情一波三折，好比从大港通向卡普里镇广场的蜿蜒小路。,喜剧 / 悬疑 / 惊悚 / 犯罪,保罗·费格,达塞·贝尔 / 杰西卡·沙泽尔 / 莱塔·卡罗格里迪斯,保罗·费格,120分钟,5.6,2.8,5353,https://www.douban.com/doubanapp/dispatch?uri=/movie/35900116
tt000177,“骗骗”喜欢你,“骗骗”喜欢你,2024,打工女孩林晴朗（金晨 饰）被渣男张子骏（王皓 饰）欺骗，一夜之间甜蜜誓言变成201314元巨额债务。诈骗头子欧阳晖（孙阳 饰）的意外出现，给林晴朗的生活带来新的转机，两人联合“碰碰车车神”董晓惠（李雪琴 饰）、“骗场老炮”柏仕通（王耀庆 饰）设局开团，与张子骏斗智斗勇。一对“欢喜冤家”，一队“骗子天团”，一场“骗爱游戏”，结局将何去何从……,喜剧 / 爱情,苏彪,杨玉婷,苏彪,114分钟,6.4,3.2,172954,https://www.douban.com/doubanapp/dispatch?uri=/movie/36838707
tt000178,饥饿站台2,饥饿站台2,2024,一个神秘的领导者在站台上强制实施其统治，一个新居民卷入了反对这种备受争议的方法的斗争，反抗这一残酷的进食系统。但是，当从错误的盘子里进食就会招致死刑时，为挽救自己的生命，你愿意付出多大的努力？,科幻 / 惊悚 / 恐怖,加尔德·加兹特鲁·乌鲁蒂亚,大卫·德索拉 / 加尔德·加兹特鲁·乌鲁蒂亚 / 埃戈伊茨·莫雷诺 / 佩德罗·里韦罗,加尔德·加兹特鲁·乌鲁蒂亚,99分钟,5.6,2.8,28917,https://www.douban.com/doubanapp/dispatch?uri=/movie/36406672
tt000179,指环王：洛汗之战,指环王：洛汗之战,2024,影片改编自J·R·R·托尔金的经典巨著，故事设定在三部曲发生的200年前，讲述了洛汗国王“锤手”海尔姆家族的命运。当黑蛮地人领主伍尔夫为父复仇，发起猛烈攻势时，海尔姆和他的子民被迫退守到古老的号角堡要塞，这座堡垒日后被称为“海尔姆深谷”（也译作“圣盔谷”）。身处绝境之中，海尔姆的女儿赫拉奋力崛起，开始带领人民反抗这个意图彻底毁灭他们的致命敌人。,剧情 / 动作 / 动画 / 奇幻 / 冒险,神山健治,杰弗里·阿迪斯 / 威尔·马修斯 / 菲比·吉廷斯 / 阿尔蒂·帕帕乔治乌,神山健治,134分钟,6.1,3.05,9540,https://www.douban.com/doubanapp/dispatch?uri=/movie/35493148
