imdb_id,original_title
tt0099423,Die Hard 2
tt0303361,May
tt3410834,Allegiant
tt15268244,Joy Ride
tt0311113,Master and Commander: The Far Side of the World
tt0098724,"sex, lies, and videotape"
tt14257582,Wolfs
tt11388580,Miss Americana
tt2224026,Home
tt3569230,Legend
tt0203119,Sexy Beast
tt0082783,My Dinner with Andre
tt0140352,The Insider
tt0328107,Man on Fire
tt10682266,Hubie Halloween
tt0021814,Dracula
tt5541240,To the Bone
tt0064068,薔薇の葬列
tt0104691,The Last of the Mohicans
tt3348730,Jigsaw
tt0020530,Un Chien Andalou
tt2481498,"Extremely Wicked, Shockingly Evil and Vile"
tt0102536,Night on Earth
tt3850590,Krampus
tt0068182,"Aguirre, der Zorn Gottes"
tt0085333,Christine
tt36463894,Predator: Killer of Killers
tt0105151,The Player
tt4687108,In the Tall Grass
tt0058946,La battaglia di Algeri
tt1939659,Carrie
tt2203939,The Other Woman
tt0064276,Easy Rider
tt28490044,悪は存在しない
tt0097428,Ghostbusters II
tt2692904,Locke
tt6217926,Annette
tt0117665,Sleepers
tt0073582,Profondo rosso
tt5536736,The Meyerowitz Stories (New and Selected)
tt0463998,Freedom Writers
tt13964390,Sous la Seine
tt10342730,Spiral: From the Book of Saw
tt0120888,The Wedding Singer
tt11161474,Pieces of a Woman
tt12618926,Madres paralelas
tt26342662,M3GAN 2.0
tt0387898,Caché
tt0443536,Hoodwinked!
tt0163978,The Beach
tt1839492,Ruby Sparks
tt31973693,The Roses
tt0056687,What Ever Happened to Baby Jane?
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader
tt4226388,Victoria
tt0091670,Offret
tt14846026,Sisu
tt14857528,Time Cut
tt1535108,Elysium
tt0118880,Con Air
tt0399295,Lord of War
tt9777644,Da 5 Bloods
tt0365376,"장화, 홍련"
tt12921446,The Exorcist: Believer
tt9784456,The Kissing Booth 2
tt0080749,The Fog
tt0033870,The Maltese Falcon
tt1187064,Triangle
tt27196021,Small Things Like These
tt0158983,"South Park: Bigger, Longer & Uncut"
tt2325989,Teen Beach Movie
tt0093409,Lethal Weapon
tt2375605,Jagal
tt4995790,The Square
tt0081455,Scanners
tt0049730,The Searchers
tt5198890,Eileen
tt1536537,What Happened to Monday
tt0082418,Friday the 13th Part 2
tt0112887,The Doom Generation
tt0076666,Saturday Night Fever
tt7766378,The Electric State
tt0106364,Batman: Mask of the Phantasm
tt0367089,The Squid and the Whale
tt9288822,The Wonder
tt16227014,Fire of Love
tt20247352,Black Mirror: Joan Is Awful
tt5028340,Mary Poppins Returns
tt0103873,Braindead
tt1772398,The Strange Thing About the Johnsons
tt21276878,You Are So Not Invited to My Bat Mitzvah
tt0026138,Bride of Frankenstein
tt0240890,Serendipity
tt7772582,Never Rarely Sometimes Always
tt0133189,SLC Punk
tt5073642,Color Out of Space
tt0370263,AVP: Alien vs. Predator
tt0810705,NANA
tt0472033,9
tt28491891,His Three Daughters
tt14998742,Rebel Moon – Part One: A Child of Fire
tt0111503,True Lies
tt0050613,蜘蛛巣城
tt0381849,3:10 to Yuma
tt11032374,劇場版「鬼滅の刃」無限列車編
tt1896747,Fly Me to the Moon
tt0165798,Ghost Dog: The Way of the Samurai
tt0059026,A Charlie Brown Christmas
tt15301048,Argentina 1985
tt0295178,Austin Powers in Goldmember
tt1465522,Tucker and Dale vs. Evil
tt1172570,Bronson
tt0306047,Scary Movie 3
tt5774060,Underwater
tt14128670,Kimi
tt5697572,Cats
tt0057345,Le Mépris
tt0187738,Blade II
tt4900148,Elio
tt3169706,Pride
tt0102138,JFK
tt35301431,Homem com H
tt33427273,A Nonsense Christmas with Sabrina Carpenter
tt0309698,Identity
tt0420223,Stranger Than Fiction
tt32434379,My Fault: London
tt1865505,Song of the Sea
tt0047437,Sabrina
tt2334873,Blue Jasmine
tt0313737,Two Weeks Notice
tt0938283,The Last Airbender
tt0093105,"Good Morning, Vietnam"
tt0879870,Eat Pray Love
tt0274558,The Hours
tt0098258,Say Anything…
tt9231040,First Cow
tt0887261,Hellraiser
tt1135503,Julie & Julia
tt0082406,The Fox and the Hound
tt0286716,Hulk
tt1823672,Chappie
tt1152836,Public Enemies
tt2884206,I Origins
tt0154506,Following
tt0817230,Valentine’s Day
tt22893404,Maria
tt12810074,Nightbitch
tt2660888,Star Trek Beyond
tt0096754,The Abyss
tt0301357,"Good Bye, Lenin!"
tt0116705,Jingle All the Way
tt1311071,Kill Your Darlings
tt0057115,The Great Escape
tt0037558,Brief Encounter
tt6725014,Scener ur ett äktenskap
tt0055928,Dr. No
tt0425123,Just Like Heaven
tt0089686,A Nightmare on Elm Street Part 2: Freddy’s Revenge
tt0424774,The Adventures of Sharkboy and Lavagirl
tt1736633,"Oslo, 31. august"
tt0116683,James and the Giant Peach
tt4267026,Hell House LLC
tt3447590,Roald Dahl’s Matilda the Musical
tt0118125,The Watermelon Woman
tt4178092,The Gift
tt0099348,Dances with Wolves
tt8075496,Bao
tt0114906,Welcome to the Dollhouse
tt0213149,Pearl Harbor
tt2334649,Fruitvale Station
tt11024272,The Babysitter: Killer Queen
tt12263384,Extraction 2
tt10236164,Pigen med nålen
tt16252698,Passages
tt0015324,Sherlock Jr.
tt1473832,Bridget Jones’s Baby
tt3086442,"Ich seh, Ich seh"
tt0052561,Anatomy of a Murder
tt0340855,Monster
tt3316960,Still Alice
tt24807110,Don’t Move
tt4218572,Widows
tt0118929,Dark City
tt0068361,Le Charme discret de la bourgeoisie
tt1911658,Penguins of Madagascar
tt0200550,Coyote Ugly
tt1727388,The Way Way Back
tt0075612,3 Women
tt23778968,Thelma
tt0335345,The Passion of the Christ
tt3920596,Big Little Lies
tt0093629,A Nightmare on Elm Street 3: Dream Warriors
tt1915581,Magic Mike
tt0155776,Jawbreaker
tt14109724,Ticket to Paradise
tt0396171,Perfume: The Story of a Murderer
tt0083922,Fanny och Alexander
tt0120879,Velvet Goldmine
tt8508734,His House
tt0329101,Freddy vs. Jason
tt1365519,Tomb Raider
tt1229340,Anchorman 2: The Legend Continues
tt2591814,言の葉の庭
tt0112817,Dead Man
tt11464826,The Social Dilemma
tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts
tt8337264,Chicken Run: Dawn of the Nugget
tt2975578,The Purge: Anarchy
tt15552142,Caddo Lake
tt27490099,L'Amour ouf
tt1477076,Saw 3D
tt0949731,The Happening
tt7347846,The Lodge
tt0058625,砂の女
tt8364368,Crawl
tt0061184,Who’s Afraid of Virginia Woolf?
tt0349205,Cheaper by the Dozen
tt3224458,A Beautiful Day in the Neighborhood
tt0837563,Pet Sematary
tt0120907,eXistenZ
tt2140203,おおかみこどもの雨と雪
tt0151738,Never Been Kissed
tt0472181,The Smurfs
tt1193138,Up in the Air
tt7752126,Brightburn
tt0163988,Bringing Out the Dead
tt2692250,Night at the Museum: Secret of the Tomb
tt0032599,His Girl Friday
tt0105417,Sister Act
tt27802490,파묘
tt0356634,Garfield
tt1187043,3 Idiots
tt0426955,Barbie as The Princess & the Pauper
tt3371366,Transformers: The Last Knight
tt0038787,Notorious
tt0172156,Bad Boys II
tt0265459,One Hour Photo
tt0113189,GoldenEye
tt2147319,ヘルタースケルター
tt5779228,The Garfield Movie
tt0133751,The Faculty
tt0059646,Repulsion
tt0983213,秒速5センチメートル
tt0067328,The Last Picture Show
tt0363163,Der Untergang
tt0452623,Gone Baby Gone
tt0050212,The Bridge on the River Kwai
tt8143990,Kajillionaire
tt2388715,Oculus
tt0102511,Naked Lunch
tt0068473,Deliverance
tt5181830,Wendell & Wild
tt1389072,Downsizing
tt0462590,Step Up
tt1155056,"I Love You, Man"
tt11196036,The Card Counter
tt1467304,The Human Centipede (First Sequence)
tt0377981,Gnomeo & Juliet
tt1854564,Percy Jackson: Sea of Monsters
tt1907668,Flight
tt5220122,Hotel Transylvania 3: Summer Vacation
tt24068064,Reality
tt6108178,Disobedience
tt3387648,The Taking of Deborah Logan
tt0790724,Jack Reacher
tt0114323,Safe
tt2283336,Men in Black: International
tt1126590,Big Eyes
tt0085636,Halloween III: Season of the Witch
tt0080661,Dressed to Kill
tt9777666,The Tomorrow War
tt0082096,Das Boot
tt1231580,Alvin and the Chipmunks: The Squeakquel
tt0120789,Pleasantville
tt0054331,Spartacus
tt4094724,The Purge: Election Year
tt10457128,Été 85
tt31022050,Our Little Secret
tt3766354,The Equalizer 2
tt0257044,Road to Perdition
tt17024450,The Equalizer 3
tt0361467,Confessions of a Teenage Drama Queen
tt32178949,Les Graines du figuier sauvage
tt32086077,പ്രഭയായ് നിനച്ചതെല്ലാം
tt0079116,Escape from Alcatraz
tt1860353,Turbo
tt0093593,Na Srebrnym Globie
tt0115940,Conte d'été
tt0427312,Grizzly Man
tt10016180,The Little Things
tt21051906,A Family Affair
tt0092965,Empire of the Sun
tt0104348,Glengarry Glen Ross
tt21261712,Back to Black
tt2183014,Love at First Sight
tt0108432,海がきこえる
tt8580274,Eurovision Song Contest: The Story of Fire Saga
tt31790114,Black Mirror: Bête Noire
tt0101921,Fried Green Tomatoes
tt0015648,Броненосец Потёмкин
tt0465538,Michael Clayton
tt0424136,Hard Candy
tt0371257,Stay
tt0051201,Witness for the Prosecution
tt0085809,Koyaanisqatsi
tt1219827,Ghost in the Shell
tt1502397,Bad Boys for Life
tt2121382,Turist
tt8267604,کفرناحوم
tt0090863,The Color of Money
tt28082769,September 5
tt0089960,Sans toit ni loi
tt1340800,Tinker Tailor Soldier Spy
tt0098084,Pet Sematary
